loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
2.053057909011841,7.569134950637817,False,,,1,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-19,1651185379,7.569134950637817,18338,farm5-gpu0102,10.160.0.18,7.569134950637817,0,1,0.003404378890991211
1.9913994073867798,2.9370362758636475,False,,,2,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-22,1651185382,10.506171226501465,18338,farm5-gpu0102,10.160.0.18,10.506171226501465,0,2,0.003404378890991211
1.9661716222763062,2.752396583557129,False,,,3,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-25,1651185385,13.258567810058594,18338,farm5-gpu0102,10.160.0.18,13.258567810058594,0,3,0.003404378890991211
1.9515613317489624,2.858081579208374,False,,,4,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-28,1651185388,16.116649389266968,18338,farm5-gpu0102,10.160.0.18,16.116649389266968,0,4,0.003404378890991211
1.9347079992294312,2.5704243183135986,False,,,5,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-31,1651185391,18.687073707580566,18338,farm5-gpu0102,10.160.0.18,18.687073707580566,0,5,0.003404378890991211
1.9419841766357422,2.76885986328125,False,,,6,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-33,1651185393,21.455933570861816,18338,farm5-gpu0102,10.160.0.18,21.455933570861816,0,6,0.003404378890991211
1.9016530513763428,2.635829448699951,False,,,7,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-36,1651185396,24.091763019561768,18338,farm5-gpu0102,10.160.0.18,24.091763019561768,0,7,0.003404378890991211
1.8792154788970947,2.5912535190582275,False,,,8,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-39,1651185399,26.683016538619995,18338,farm5-gpu0102,10.160.0.18,26.683016538619995,0,8,0.003404378890991211
1.8644719123840332,2.617607831954956,False,,,9,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-41,1651185401,29.30062437057495,18338,farm5-gpu0102,10.160.0.18,29.30062437057495,0,9,0.003404378890991211
1.8191556930541992,2.547689437866211,True,,,10,96a529b0,a4b7275d39454a1297f4c0f4d99cc77f,2022-04-28_23-36-44,1651185404,31.848313808441162,18338,farm5-gpu0102,10.160.0.18,31.848313808441162,0,10,0.003404378890991211
