,subfamily,sum,celltype
pseudobulk_76,ZFX:C2H2,0.24408544894049555,naive B cell
pseudobulk_77,ZFX:C2H2,0.3041294726099295,Slamf1-negative multipotent progenitor cell
pseudobulk_78,ZFX:C2H2,0.2971327461418696,Slamf1-negative multipotent progenitor cell
pseudobulk_79,ZFX:C2H2,0.31672865303698927,Slamf1-negative multipotent progenitor cell
pseudobulk_80,ZFX:C2H2,0.3211985457019182,Slamf1-negative multipotent progenitor cell
pseudobulk_81,ZFX:C2H2,0.29705900250701234,granulocyte monocyte progenitor cell
pseudobulk_82,ZFX:C2H2,0.27146268114302075,granulocyte monocyte progenitor cell
pseudobulk_83,ZFX:C2H2,0.30046190405846573,Slamf1-negative multipotent progenitor cell
pseudobulk_84,ZFX:C2H2,0.19164833868853748,naive B cell
pseudobulk_85,ZFX:C2H2,0.21533865663576535,precursor B cell
pseudobulk_86,ZFX:C2H2,0.206193004421948,precursor B cell
pseudobulk_87,ZFX:C2H2,0.2680032722346368,immature B cell
pseudobulk_88,ZFX:C2H2,0.2991956618207041,Slamf1-negative multipotent progenitor cell
pseudobulk_89,ZFX:C2H2,0.24261166647193022,naive B cell
pseudobulk_90,ZFX:C2H2,0.2526355489026173,naive B cell
pseudobulk_91,ZFX:C2H2,0.27550669631455094,macrophage
pseudobulk_92,ZFX:C2H2,0.26414657416171394,macrophage
pseudobulk_93,ZFX:C2H2,0.2599480647149903,immature B cell
pseudobulk_94,ZFX:C2H2,0.24672766972071258,naive B cell
pseudobulk_95,ZFX:C2H2,0.2924126136713312,Slamf1-negative multipotent progenitor cell
pseudobulk_96,ZFX:C2H2,0.2114184557358385,naive B cell
pseudobulk_97,ZFX:C2H2,0.30171078223065706,Slamf1-negative multipotent progenitor cell
pseudobulk_98,ZFX:C2H2,0.21344521483842982,immature T cell
pseudobulk_99,ZFX:C2H2,0.22185274621733697,immature NK T cell
pseudobulk_0,KLF/SP/2:C2H2,1.4589076315692182,late pro-B cell
pseudobulk_1,KLF/SP/2:C2H2,1.1708756477946736,naive B cell
pseudobulk_2,KLF/SP/2:C2H2,1.5259574781521223,late pro-B cell
pseudobulk_3,KLF/SP/2:C2H2,1.3502157495822757,macrophage
pseudobulk_4,KLF/SP/2:C2H2,1.4899060782845481,late pro-B cell
pseudobulk_5,KLF/SP/2:C2H2,1.3176170897713746,precursor B cell
pseudobulk_6,KLF/SP/2:C2H2,1.1248921445630913,naive B cell
pseudobulk_7,KLF/SP/2:C2H2,1.094491059309803,naive B cell
pseudobulk_8,KLF/SP/2:C2H2,1.2691434409280191,granulocyte
pseudobulk_9,KLF/SP/2:C2H2,1.2898331079559284,granulocyte
pseudobulk_10,KLF/SP/2:C2H2,1.0640123382981983,granulocyte
pseudobulk_11,KLF/SP/2:C2H2,1.5319168333808193,granulocyte monocyte progenitor cell
pseudobulk_12,KLF/SP/2:C2H2,1.1477595571413985,granulocyte
pseudobulk_13,KLF/SP/2:C2H2,1.3474338231426373,naive B cell
pseudobulk_14,KLF/SP/2:C2H2,1.2344424227717354,naive B cell
pseudobulk_15,KLF/SP/2:C2H2,1.3498599503654987,naive B cell
pseudobulk_16,KLF/SP/2:C2H2,1.4921766956067586,mature natural killer cell
pseudobulk_17,KLF/SP/2:C2H2,1.405026752370759,precursor B cell
pseudobulk_18,KLF/SP/2:C2H2,1.3577265864878427,naive B cell
pseudobulk_19,KLF/SP/2:C2H2,1.5951486459525768,late pro-B cell
pseudobulk_20,KLF/SP/2:C2H2,1.2999335024651373,naive B cell
pseudobulk_21,KLF/SP/2:C2H2,1.2462592921656324,precursor B cell
pseudobulk_22,KLF/SP/2:C2H2,1.501904291806568,late pro-B cell
pseudobulk_23,KLF/SP/2:C2H2,1.22133034698345,granulocyte
pseudobulk_24,KLF/SP/2:C2H2,1.3174873679881784,granulocyte
pseudobulk_25,KLF/SP/2:C2H2,1.2733180573493428,granulocyte
pseudobulk_26,KLF/SP/2:C2H2,1.2123540126046919,precursor B cell
pseudobulk_27,KLF/SP/2:C2H2,1.5379077198331288,hematopoietic precursor cell
pseudobulk_28,KLF/SP/2:C2H2,1.5071813864560681,Slamf1-negative multipotent progenitor cell
pseudobulk_29,KLF/SP/2:C2H2,1.4842260577424895,Slamf1-negative multipotent progenitor cell
pseudobulk_30,KLF/SP/2:C2H2,1.6369834088509378,common lymphoid progenitor
pseudobulk_31,KLF/SP/2:C2H2,1.4816940728917416,Slamf1-negative multipotent progenitor cell
pseudobulk_32,KLF/SP/2:C2H2,1.435542281884409,Slamf1-negative multipotent progenitor cell
pseudobulk_33,KLF/SP/2:C2H2,1.4803369312212453,common lymphoid progenitor
pseudobulk_34,KLF/SP/2:C2H2,1.5023973692495929,Slamf1-negative multipotent progenitor cell
pseudobulk_35,KLF/SP/2:C2H2,1.6042539560767182,precursor B cell
pseudobulk_36,KLF/SP/2:C2H2,1.2895198955220621,hematopoietic precursor cell
pseudobulk_37,KLF/SP/2:C2H2,1.045997379678738,granulocyte
pseudobulk_38,KLF/SP/2:C2H2,1.0494055716330877,granulocyte
pseudobulk_39,KLF/SP/2:C2H2,1.1583398829752696,granulocyte
pseudobulk_40,KLF/SP/2:C2H2,1.245014023164913,monocyte
pseudobulk_41,KLF/SP/2:C2H2,1.1733883341239562,granulocyte
pseudobulk_42,KLF/SP/2:C2H2,1.4021479831881152,monocyte
pseudobulk_43,KLF/SP/2:C2H2,1.2572229208576573,granulocyte
pseudobulk_44,KLF/SP/2:C2H2,0.9656939460837748,granulocyte
pseudobulk_45,KLF/SP/2:C2H2,1.385247535785311,monocyte
pseudobulk_46,KLF/SP/2:C2H2,1.3037276698742062,granulocytopoietic cell
pseudobulk_47,KLF/SP/2:C2H2,1.3328428971576614,granulocyte
pseudobulk_48,KLF/SP/2:C2H2,1.1369816826505712,granulocyte
pseudobulk_49,KLF/SP/2:C2H2,1.0610844034090405,naive B cell
pseudobulk_50,KLF/SP/2:C2H2,1.503687783057103,late pro-B cell
