loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
6.057131767272949,7.9993510246276855,False,,,1,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-27,1651184907,7.9993510246276855,45613,farm5-gpu0102,10.160.0.18,7.9993510246276855,0,1,0.003450155258178711
5.721225261688232,3.2401435375213623,False,,,2,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-30,1651184910,11.239494562149048,45613,farm5-gpu0102,10.160.0.18,11.239494562149048,0,2,0.003450155258178711
5.13093900680542,3.209993362426758,False,,,3,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-33,1651184913,14.449487924575806,45613,farm5-gpu0102,10.160.0.18,14.449487924575806,0,3,0.003450155258178711
4.390388488769531,3.153439521789551,False,,,4,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-37,1651184917,17.602927446365356,45613,farm5-gpu0102,10.160.0.18,17.602927446365356,0,4,0.003450155258178711
3.6414260864257812,3.142179489135742,False,,,5,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-40,1651184920,20.7451069355011,45613,farm5-gpu0102,10.160.0.18,20.7451069355011,0,5,0.003450155258178711
3.0162429809570312,3.1906681060791016,False,,,6,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-43,1651184923,23.9357750415802,45613,farm5-gpu0102,10.160.0.18,23.9357750415802,0,6,0.003450155258178711
2.600902557373047,3.3611738681793213,False,,,7,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-46,1651184926,27.29694890975952,45613,farm5-gpu0102,10.160.0.18,27.29694890975952,0,7,0.003450155258178711
2.374573230743408,3.499345064163208,False,,,8,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-50,1651184930,30.79629397392273,45613,farm5-gpu0102,10.160.0.18,30.79629397392273,0,8,0.003450155258178711
2.280980110168457,2.8952133655548096,False,,,9,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-53,1651184933,33.69150733947754,45613,farm5-gpu0102,10.160.0.18,33.69150733947754,0,9,0.003450155258178711
2.2469124794006348,3.353419542312622,True,,,10,7da8b536,a9ae933981de403baf8a9a3d39aeeb19,2022-04-28_23-28-56,1651184936,37.04492688179016,45613,farm5-gpu0102,10.160.0.18,37.04492688179016,0,10,0.003450155258178711
